gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,uuid,admission,staff_teacher,enquiry_course,enquiry_type,enquiry_month,qualification,college,name,Jan fee,Feb fee,Mar fee,Apr fee,May fee,Jun fee,jan_late,feb_late,mar_late,apr_late,may_late,jun_late,Average Fee Delay,Jul predicted date,10th_grade,12th_grade,graduation,first_eval_aptitude,first_eval_programming,first_eval_comm,first_eval,second_eval_aptitude,second_eval_programming,second_eval_comm,second_eval,third_eval_aptitude,third_eval_programming,third_eval_comm,third_eval,fourth_eval_aptitude,fourth_eval_programming,fourth_eval_comm,fourth_eval,total_eval_aptitude,total_eval_programming,total_eval_comm,total_eval,dropped
M,Iraq,Iraq,lowerlevel,G-04,A,Science,F,Father,90,86,82,74,Yes,Good,Above-7,M,029ecf04-8c2a-41b8-bdb4-68a4a01df75e,Admission,Vandana,AIML,College,Feb-2020,M.Tech-ECE,IIT Ropar,Girish,09-01-2020,08-02-2020,09-03-2020,18-04-2020,09-05-2020,11-06-2020,-1,-2,-1,8,-1,1,1 days 00:00:00.000000000,11-07-2020,80.29,73.42,8.5,3.5,4.5,3.5,11.5,5.5,4.5,5.0,15.0,5.5,4.5,4.0,14.0,5.0,5.0,5.0,15.0,4.875,4.625,4.375,13.875,Yes
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Mum,92,80,88,76,Yes,Good,Under-7,H,2543e7e2-f95e-4fb1-85f2-04dc4c778e89,Admission,Ashita,AIML,Phone,Mar-2020,BCA,SVIET,Amita,17-01-2020,18-02-2020,17-03-2020,28-04-2020,15-05-2020,22-06-2020,7,8,7,18,5,12,10 days 00:00:00.000000000,20-07-2020,89.19,86.69,6.4,3.5,5.0,5.5,14.0,4.0,4.5,4.0,12.5,4.5,5.0,5.5,15.0,5.5,5.5,4.5,15.5,4.375,5.0,4.875,14.25,Yes
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Good,Under-7,H,7d618bc3-9b04-40d7-be44-45fa141c719d,Enquiry,,Python,Social Media,Apr-2020,Diploma in IT,DAV College,Harishankar,06-01-2020,12-02-2020,22-03-2020,12-04-2020,16-05-2020,06-06-2020,-4,2,12,2,6,-4,2 days 00:00:00.000000000,12-07-2020,91.55,80.93,5.7,4.0,4.5,5.0,13.5,5.5,4.0,4.0,13.5,4.5,4.5,5.0,14.0,5.0,4.5,4.5,14.0,4.75,4.375,4.625,13.75,Yes
M,SaudiArabia,USA,HighSchool,G-11,B,Math,S,Father,70,58,73,91,Yes,Bad,Under-7,H,9bc1b331-9db8-4450-a455-0823b0833ded,Admission,Bhawna Singh,Angular,College,Mar-2020,Diploma in IT,National Institute of Technical Teachers Training & Research,Madhur,14-01-2020,14-02-2020,25-03-2020,28-04-2020,09-05-2020,10-06-2020,4,4,15,18,-1,0,7 days 00:00:00.000000000,17-07-2020,74.11,74.07,8.5,4.0,5.0,5.5,14.5,4.0,5.5,5.0,14.5,4.5,5.0,4.0,13.5,4.5,5.0,5.5,15.0,4.25,5.125,5.0,14.375,Yes
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,70,81,39,84,No,Bad,Under-7,M,9bd53c47-2bda-43fa-a7c0-9b90bfa109f7,Enquiry,,Python,College,Jan-2020,Diploma in ECE,Goswami Ganesh Dutta Sanatan Dharma College,Kishen,17-01-2020,09-02-2020,17-03-2020,27-04-2020,18-05-2020,16-06-2020,7,-1,7,17,8,6,7 days 00:00:00.000000000,17-07-2020,77.93,72.81,6.3,5.0,5.0,4.0,14.0,5.0,5.0,4.0,14.0,4.5,4.5,4.5,13.5,5.0,5.0,5.0,15.0,4.875,4.875,4.375,14.125,Yes
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,11,20,20,98,No,Bad,Above-7,L,00875a35-40ec-4339-9cda-1205bb9f6287,Admission,Prasenjit,Android,Email,Feb-2020,M.Tech-IT,Rayat & Bahra University,Lata,24-01-2020,13-02-2020,11-03-2020,15-04-2020,15-05-2020,06-06-2020,14,3,1,5,5,-4,4 days 00:00:00.000000000,14-07-2020,69.45,79.58,7.2,5.0,4.0,3.5,12.5,5.5,4.0,4.5,14.0,5.0,4.0,4.5,13.5,5.5,5.5,5.0,16.0,5.25,4.375,4.375,14.0,No
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2,6,2,8,No,Bad,Above-7,L,009cf786-79ca-4db6-84c6-14f5a25598ca,Enquiry,,Mean Stack,Email,May-2020,M.Tech-CSE,Indo Global Colleges,Jyotsna,08-01-2020,20-02-2020,20-03-2020,23-04-2020,17-05-2020,22-06-2020,-2,10,10,13,7,12,8 days 00:00:00.000000000,18-07-2020,71.57,88.9,9.1,5.0,5.5,5.0,15.5,5.0,5.0,4.0,14.0,5.5,4.0,5.0,14.5,5.0,4.5,5.0,14.5,5.125,4.75,4.75,14.625,No
M,Jordan,Jordan,lowerlevel,G-02,A,French,S,Father,30,10,20,5,No,Bad,Above-7,L,00e32cfb-8e25-4bc8-9c32-ed121bafe19f,Enquiry,,AIML,Web Enquiry,Jan-2020,B.Tech-CSE,Government College for Girls,Govinden,23-01-2020,15-02-2020,08-03-2020,18-04-2020,22-05-2020,22-06-2020,13,5,-2,8,12,12,8 days 00:00:00.000000000,18-07-2020,83.74,75.02,9.6,4.5,4.0,4.5,13.0,5.0,4.5,4.5,14.0,4.5,5.5,5.5,15.5,5.5,4.5,5.0,15.0,4.875,4.625,4.875,14.375,No
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,53,75,72,23,No,Bad,Under-7,M,01bb8b98-427d-4b93-8996-d2e78b85b1c7,Admission,Bhawna Singh,Android,Walk-in,Feb-2020,Diploma in CSE,Goswami Ganesh Dutta Sanatan Dharma College,Karliaye,08-01-2020,11-02-2020,23-03-2020,22-04-2020,11-05-2020,08-06-2020,-2,1,13,12,1,-2,4 days 00:00:00.000000000,14-07-2020,74.54,76.27,5.9,5.0,3.5,4.5,13.0,4.5,5.0,5.5,15.0,4.5,4.5,4.0,13.0,5.5,5.5,4.5,15.5,4.875,4.625,4.625,14.125,No
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Father,35,80,34,22,No,Good,Above-7,M,02b5a132-bae8-433a-829e-e156fd384fa9,Admission,Bhawna Singh,Python,Web Enquiry,May-2020,Diploma in ECE,Rayat & Bahra University,Gobind,16-01-2020,12-02-2020,17-03-2020,22-04-2020,17-05-2020,22-06-2020,6,2,7,12,7,12,8 days 00:00:00.000000000,18-07-2020,73.51,73.97,9.5,4.0,5.5,5.0,14.5,5.5,4.0,4.5,14.0,5.5,4.0,4.0,13.5,4.5,5.0,5.0,14.5,4.875,4.625,4.625,14.125,No
